id,isbn,title,author,publisher,image_url,content,genre_1,genre_2
1,9791127444280,액션 캐릭터 일러스트 그리기 - 생동감 넘치는 액션 라인 테크닉,"나카츠카 마코토 (지은이), 김재훈 (옮긴이)",AK(에이케이)커뮤니케이션즈,https://image.aladin.co.kr/product/27109/58/cover/k022731140_1.jpg,액션라인을 중심으로 그림을 구성하면 보는 사람이 움직인다고 착각하도록 움직임의 흐름이 느껴지게 표현할 수 있다. 액션라인을 이용하여 생동감 있는 액션 캐릭터를 그릴 수 있는 테크닉을 모두 공개한다.,만화,만화그리기와 읽기
2,9788955866629,김구 읽기,문중섭 (지은이),세창출판사(세창미디어),https://image.aladin.co.kr/product/27081/26/cover/8955866623_1.jpg,"세창사상가산책 20권. 백범 김구는 한국민족운동의 상징이다. 그의 삶은 민족의 독립과 통일을 위한 헌신으로 점철되었다. 그의 삶은 위대하고, 그의 사상은 숭고하다. 독립운동가이자 정치지도자로서 평생을 조국에 헌신한 백범 김구의 정신을 되새겨 보자.",인문학,사상가/인문학자
3,9791191472011,소년의 일기,곽동주 (지은이),메이킹북스,https://image.aladin.co.kr/product/26556/39/cover/k712738939_1.jpg,"한때 소년, 소녀였던 그들을 위한 감성코미디웹툰. 이젠 어른이 되어버린 8090세대, “소년”,“소녀”였던 어른들에게 이 책을 바친다.",만화,인터넷 연재 만화
4,9791165098896,만화 사내 맞선 4,"NARAK (지은이), 해화 (원작), 들깨 (각색)",연담,https://image.aladin.co.kr/product/26700/28/cover/k762730984_1.jpg,"하리에게만 보여주는 태무의 모습은 정말 복수를 위한 것일까? 일상에 자연스럽게 스며든 태무가 무서우면서도, 두근거리기 시작하는 하리. 좋아한다 말하고 싶지만 거짓말로 쌓아온 관계에 태무가 실망할 것이 두렵기만 한데….",만화,인터넷 연재 만화
5,9788997924837,누가 IT시장 취업에 성공하는가 - 신입 경력 지원자와 면접관을 위한 지침서,이상민 (지은이),로드북,https://image.aladin.co.kr/product/27103/22/cover/8997924834_1.jpg,개발자가 되기 위해 취업을 준비하거나 이직을 고려하는 분들을 위한 지침서다. 또한 현직 CTO로서 경험한 수많은 면접 경험이 내용에 녹아 있어 면접관에게도 훌륭한 교과서가 될 수 있다.,IT,컴퓨터 공학
6,9788966262991,사용자를 끌어들이는 UX/UI의 비밀 - MAU는 높이고 이탈률은 낮추는 UX/UI 실무 패턴 80,"제니퍼 티드웰, 찰스 브루어, 아인 발렌시아 (지은이), 박재현 (옮긴이), 한상택 (감수)",인사이트,https://image.aladin.co.kr/product/27105/61/cover/8966262996_1.jpg,"15년간 사랑받은 UX 분야 아마존 스테디셀러기본에 충실한 영감으로 가득한 믿을 만한 패턴 북80가지 UX/UI 패턴! 400여 개 UI 스크린 샷!좋은 인터페이스는 삶을 더 쉽게 만들어야 한다디지털 인터페이스가 없는 일상을 상상하기 어려운 세상이다. 일하고, 놀고, 대화하고, 쇼핑하고, 새로운 것을 배우는... ",IT,웹디자인/홈페이지
7,9791196921125,물의 가시에 찔리다 - 김승 시집,김승 (지은이),실천,https://image.aladin.co.kr/product/27074/8/cover/k692731589_1.jpg,세 번째 허무집을 지었다 / 후회의 집이 될지도 모른다 / 허무든 후회든 내가 안고 가야 할 나의 삶 / 너무 뒤돌아보지 말자&#x0D;2년 전 돌아가신 아버지께 / 태어나서 처음으로 드리고 싶은 말이 있다 / 아버지 사랑합니다&#x0D;- 저자의 말 중에서&#x0D;,문학,시
8,9791166034190,청춘 간호사의 세계 병원 여행 - 의료가 있는 곳이라면 어디든 떠난 청년 간호사 이야기,김진수 (지은이),이담북스,https://image.aladin.co.kr/product/27109/71/cover/k142731140_1.jpg,"각 나라의 병원에 방문하고 그곳의 의료진들을 만나 들은 이야기를 공유한 것이다. 현직 간호사인 저자가 직접 세계 병원을 여행하며 어떤 목적의 병원이 있는지, 진료 환경은 우리나라와 어떻게 다른지 풀어냈다.",취미,세계일주여행
9,9791190976046,오늘은 오일파스텔 - 하루 한 그림,김지은 (지은이),도서출판 큰그림,https://image.aladin.co.kr/product/27005/52/cover/k492730323_1.jpg,"오일파스텔을 처음 사용해 보는 분들도 쉽게 따라할 수 있도록 그림을 그리는 과정을 처음부터 끝까지 차근차근 소개한다. 하루하루 마주하는 익숙한 풍경들부터 훌쩍 떠나고 싶은 여행지의 풍경, 꿈속에서 마주할 것만 같은 몽환적인 풍경까지 그림 한 장 한 장에 저자만의 감성을 가득 담았다.",예술,미술
10,9791197072918,"어쩌다, 승무원 - 서비스와 안전 사이, 아슬했던 비행의 기록들",김연실 (지은이),언제나북스,https://image.aladin.co.kr/product/27123/82/cover/k362731145_1.jpg,"’똘끼‘ 충만한 전직 승무원이 들려주는 생생하고 솔직한 리얼 비행 스토리. 저자의 값지고 진솔한 경험들이 이 책을 통해 조금이나마 전달되길 바라며, 승무원에 대한 궁금증과 여행 시 팁이 될 만한 정보도 함께 넣어 비행기에 탑승할 때 누구에게나 도움이 될 수 있도록 했다.",문학,사진/그림 에세이
